(2, 4, 5, 0, 1, 'D', 4, 4, 0)
(8, 2, 4, 2, 0, 'M', 2, 5, 1)
(6, -1, -1, -1, 1, 'M', 6, 4, 0)
(9, 3, 0, 0, 0, 'M', -2, -2, -2)
(1, 0, 3, 0, 1, 'D', 1, 3, 0)
(5, 4, 5, 0, 1, 'M', 4, 4, 1)
(5, 4, 0, 0, 1, 'M', 4, 1, 1)
(9, 2, 5, 1, 0, 'M', 2, 6, 0)
(6, 2, 0, 0, 0, 'M', -2, -2, -2)
(7, 6, 3, 0, 0, 'M', -2, -2, -2)
(4, 3, 0, 0, 1, 'M', 3, 1, 0)
(1, -1, -1, -1, 1, 'M', 6, 3, 0)
(5, 3, 5, 0, 0, 'M', 3, 6, 0)
(8, 1, 2, 0, 0, 'M', 0, 2, 0)
(2, 3, 1, 0, 1, 'M', 3, 2, 0)
(9, 2, 1, 1, 0, 'M', 2, 0, 0)
(10, 6, 4, 0, 0, 'P', 5, 4, 1)
(11, 2, 6, 0, 1, 'M', -2, -2, -2)
(9, 4, 6, 0, 0, 'M', -2, -2, -2)
(8, 3, 1, 0, 0, 'M', 3, 0, 0)
(8, 0, 4, 0, 0, 'M', -2, -2, -2)
(3, 3, 6, 0, 1, 'M', 3, 5, 0)
(6, 3, 6, 0, 0, 'M', -2, -2, -2)
(1, -1, -1, -1, 1, 'M', 1, 6, 0)
(7, 6, 4, 0, 1, 'M', 5, 4, 1)
(1, 6, 4, 0, 1, 'D', 5, 4, 0)
(7, 4, 0, 0, 1, 'M', 4, 1, 1)
(5, 2, 4, 1, 1, 'D', 3, 4, 1)
(6, 4, 1, 1, 1, 'D', 5, 1, 1)
(5, 3, 1, 0, 1, 'D', 3, 2, 0)
(6, 4, 2, 1, 1, 'D', 3, 2, 1)
(0, -1, -1, -1, 1, 'M', 6, 2, 0)
(8, 5, 2, 0, 0, 'M', 6, 2, 0)
(4, 4, 5, 0, 1, 'M', 4, 4, 1)
(4, 3, 2, 0, 0, 'M', 2, 2, 0)
(6, 2, 4, 1, 0, 'M', 1, 4, 0)
(0, -1, -1, -1, 1, 'M', 2, 0, 0)
(4, 5, 2, 0, 1, 'D', 4, 2, 0)
(2, 1, 2, 0, 1, 'M', 2, 2, 0)
(8, 2, 1, 1, 1, 'D', 2, 2, 1)
(5, 2, 5, 1, 1, 'D', 1, 5, 1)
(0, -1, -1, -1, 1, 'M', 4, 0, 0)
(1, 4, 0, 0, 1, 'D', 4, 1, 0)
(0, -1, -1, -1, 1, 'M', 3, 0, 0)
(1, 0, 2, 0, 1, 'M', 1, 2, 0)
(4, 2, 1, 1, 1, 'D', 1, 1, 1)
(0, -1, -1, -1, 1, 'M', 2, 6, 0)
(7, 3, 5, 0, 0, 'M', 3, 6, 0)
(1, 6, 2, 0, 1, 'M', 5, 2, 0)
(5, 5, 4, 1, 0, 'M', 6, 4, 0)
(2, 6, 4, 0, 0, 'M', -2, -2, -2)
(2, 0, 3, 0, 0, 'M', -2, -2, -2)
(5, 2, 2, 0, 0, 'M', 1, 2, 0)
(4, 5, 4, 1, 1, 'D', 5, 5, 1)
(2, 5, 6, 0, 0, 'M', -2, -2, -2)
(0, -1, -1, -1, 1, 'M', 3, 6, 0)
(5, 5, 2, 0, 0, 'M', 6, 2, 0)
(8, 4, 5, 0, 0, 'M', 4, 6, 0)
(9, 6, 2, 0, 0, 'M', -2, -2, -2)
(1, 4, 6, 0, 1, 'M', 4, 5, 0)
(2, 4, 0, 0, 0, 'M', -2, -2, -2)
(3, 5, 3, 0, 1, 'D', 4, 3, 0)
(7, 4, 1, 1, 0, 'M', 3, 1, 0)
(1, 0, 4, 0, 1, 'M', 1, 4, 0)
(8, 2, 5, 1, 0, 'M', 2, 6, 0)
(3, 2, 2, 0, 1, 'D', 2, 3, 0)
(5, 4, 1, 1, 1, 'M', 4, 2, 1)
(2, 0, 1, 0, 1, 'D', 1, 1, 0)
(5, 1, 6, 0, 0, 'M', -2, -2, -2)
(3, -1, -1, -1, 1, 'M', 3, 0, 0)
(2, -1, -1, -1, 1, 'M', 3, 6, 0)
(6, -1, -1, -1, 1, 'M', 2, 0, 0)
(1, 3, 6, 0, 1, 'D', 3, 5, 0)	
(2, -1, -1, -1, 1, 'M', 0, 3, 0)
(5, 2, 1, 1, 0, 'M', 2, 0, 0)
(1, -1, -1, -1, 1, 'M', 0, 1, 0)
(4, 4, 0, 0, 1, 'M', 4, 1, 1)
(3, -1, -1, -1, 1, 'M', 1, 6, 0)
(5, 1, 3, 1, 0, 'M', 0, 3, 0)
(6, 2, 6, 0, 1, 'M', 2, 5, 1)
(2, 1, 6, 0, 1, 'D', 1, 5, 0)
(2, 5, 2, 0, 1, 'M', 4, 2, 0)
(7, 4, 2, 1, 0, 'M', 5, 2, 0)
(11, 4, 0, 0, 1, 'M', -2, -2, -2)
(4, 1, 4, 0, 1, 'M', 2, 4, 1)
(1, 3, 0, 0, 1, 'M', 3, 1, 0)
(3, 0, 3, 0, 1, 'M', 1, 3, 1)
(7, 1, 2, 0, 1, 'D', 2, 2, 0)
(2, 2, 6, 0, 0, 'M', -2, -2, -2)
(9, 2, 6, 0, 0, 'M', -2, -2, -2)
(3, -1, -1, -1, 1, 'M', 2, 6, 0)
(8, 5, 4, 1, 1, 'D', 4, 4, 1)
(10, 2, 0, 0, 0, 'P', 2, 1, 1)
(4, 2, 2, 0, 0, 'M', 1, 2, 0)
(9, 5, 4, 1, 0, 'M', 6, 4, 0)
(0, -1, -1, -1, 1, 'M', 0, 3, 0)
(2, 6, 3, 0, 1, 'M', 5, 3, 0)
(0, -1, -1, -1, 1, 'M', 5, 6, 0)
(1, 5, 6, 0, 1, 'D', 5, 5, 0)
(0, -1, -1, -1, 1, 'M', 4, 6, 0)
(6, 6, 2, 0, 0, 'M', -2, -2, -2)
(1, 2, 6, 0, 1, 'D', 2, 5, 0)
(8, 3, 6, 0, 0, 'M', -2, -2, -2)
(0, -1, -1, -1, 1, 'M', 0, 4, 0)
(7, 2, 5, 1, 1, 'D', 2, 4, 1)
(6, 3, 1, 0, 0, 'M', 3, 0, 0)
(5, 1, 2, 0, 0, 'M', 0, 2, 0)
(6, 3, 4, 2, 1, 'D', 3, 3, 2)
(3, 0, 1, 0, 0, 'M', -2, -2, -2)
(2, 1, 4, 0, 1, 'D', 2, 4, 0)
(7, 4, 4, 1, 0, 'M', 4, 5, 0)
(4, -1, -1, -1, 1, 'M', 5, 0, 0)
(6, 1, 2, 0, 0, 'P', 1, 3, 1)
(6, 5, 0, 0, 0, 'M', -2, -2, -2)
(7, 1, 4, 0, 0, 'M', 0, 4, 0)
(6, 4, 4, 1, 1, 'D', 4, 3, 1)
(4, 5, 3, 0, 0, 'M', 6, 3, 0)
(3, 6, 2, 0, 1, 'M', 5, 2, 0)
(6, -1, -1, -1, 1, 'M', 4, 0, 0)
(5, 4, 3, 1, 0, 'M', 5, 3, 0)
(2, 3, 6, 0, 0, 'M', -2, -2, -2)
(4, 1, 6, 0, 1, 'D', 1, 5, 0)
(3, -1, -1, -1, 1, 'M', 4, 0, 0)
(3, 1, 6, 0, 0, 'M', -2, -2, -2)
(6, 0, 3, 0, 0, 'M', -2, -2, -2)
(4, -1, -1, -1, 1, 'M', 4, 0, 0)
(4, 4, 6, 0, 1, 'M', 4, 5, 0)
(5, -1, -1, -1, 1, 'M', 2, 6, 0)
(7, 3, 0, 0, 0, 'M', -2, -2, -2)
(7, 2, 0, 0, 1, 'M', 2, 1, 1)
(9, 4, 1, 1, 0, 'M', 4, 0, 0)
(2, 2, 0, 0, 0, 'M', -2, -2, -2)
